CrimeCode,Location,Description,Weapon,Victim_Gender,Victim_Age,Victim_Race,District,Date,Time,Year,Day,Month
4E,1100 N MOUNT ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,31.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,2023-05-06,1:30 AM,2023,6,May
4E,2400 MARBOURNE AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,24.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,2023-05-06,1:00 AM,2023,6,May
4E,2400 MARBOURNE AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,20.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,2023-05-06,1:00 AM,2023,6,May
4E,5500 WINTON AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,20.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,2023-05-06,1:45 AM,2023,6,May
4E,4300 ROLAND AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,79.0,WHITE,NORTHERN,2023-05-05,6:00 PM,2023,5,May
7C,1400 LEMMON ST,AUTO THEFT,Other,M,82.0,WHITE,SOUTHERN,2023-05-05,3:40 PM,2023,5,May
4E,1300 KITMORE RD,COMMON ASSAULT,PERSONAL_WEAPONS,F,14.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-05-05,11:31 PM,2023,5,May
6D,1100 PARK AVE,LARCENY FROM AUTO,Other,M,31.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-05-05,4:12 PM,2023,5,May
6F,2500 E BALTIMORE ST,LARCENY,Other,F,62.0,WHITE,SOUTHEAST,2023-05-05,10:00 AM,2023,5,May
4E,5600 SEFTON AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,14.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-05-05,5:00 PM,2023,5,May
6J,4000 AYRDALE AVE,LARCENY,Other,U,38.0,OTHER,NORTHWEST,2023-05-05,9:45 PM,2023,5,May
7C,1600 INVERNESS AVE,AUTO THEFT,Other,M,65.0,WHITE,SOUTHWEST,2023-05-05,8:10 PM,2023,5,May
6G,3600 CLIPPER MILL RD,LARCENY,Other,U,38.0,OTHER,NORTHERN,2023-05-05,11:00 PM,2023,5,May
6J,2500 TALBOT RD,LARCENY,Other,U,38.0,OTHER,NORTHWEST,2023-05-06,4:30 AM,2023,6,May
5F,300 N BROADWAY,BURGLARY,Other,U,38.0,OTHER,SOUTHEAST,2023-05-05,8:15 AM,2023,5,May
6C,200 W CHASE ST,LARCENY,Other,U,38.0,OTHER,CENTRAL,2023-05-05,7:41 PM,2023,5,May
6C,2700 REMINGTON AVE,LARCENY,Other,U,38.0,OTHER,NORTHERN,2023-05-05,11:36 PM,2023,5,May
5A,500 E 23RD ST,BURGLARY,Other,U,38.0,OTHER,EASTERN,2023-05-05,4:20 PM,2023,5,May
4B,2300 W NORTH AVE,AGG. ASSAULT,PERSONAL_WEAPONS,F,19.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,2023-04-26,3:25 AM,2023,26,April
3AJF,2100 CRIMEA RD,ROBBERY - CARJACKING,RIFLE,M,19.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,2023-04-26,2:50 AM,2023,26,April
4E,400 GWYNN AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,37.0,AMERICAN_INDIAN_OR_ALASKA_NATIVE,SOUTHWEST,2023-04-26,3:11 AM,2023,26,April
4E,1700 W LEXINGTON ST,COMMON ASSAULT,Other,F,38.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,2023-04-26,4:15 AM,2023,26,April
3GO,100 S BROADWAY,ROBBERY,BLUNT_OBJECT,M,26.0,OTHER,SOUTHEAST,2023-04-26,4:10 AM,2023,26,April
4E,600 LAURENS ST,COMMON ASSAULT,Other,U,38.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-04-26,4:30 AM,2023,26,April
3AF,1000 HENDLER LN,ROBBERY,HANDGUN,M,23.0,ASIAN,CENTRAL,2023-04-26,4:50 AM,2023,26,April
