CrimeDateTime,CrimeCode,Location,Description,Weapon,Victim_Gender,Victim_Age,Victim_Race,District
"5/15/2023, 1:00 AM",6D,800 S BOND ST,LARCENY FROM AUTO,,M,29,,SOUTHEAST
"5/14/2023, 11:00 PM",7C,4000 BALFERN AVE,AUTO THEFT,,F,33,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"6/11/2023, 6:35 AM",5F,3700 BANK ST,BURGLARY,,M,64,WHITE,SOUTHEAST
"6/11/2023, 10:22 AM",4E,3300 WILKENS AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,51,,SOUTHWEST
"6/11/2023, 11:11 AM",4E,1800 LETITIA AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,30,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"6/11/2023, 11:11 AM",4E,1800 LETITIA AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,32,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"6/11/2023, 7:19 AM",4E,3900 S HANOVER ST,COMMON ASSAULT,PERSONAL_WEAPONS,M,31,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN
"6/11/2023, 7:19 AM",4E,3900 S HANOVER ST,COMMON ASSAULT,PERSONAL_WEAPONS,M,31,WHITE,SOUTHERN
"6/11/2023, 7:19 AM",4E,3900 S HANOVER ST,COMMON ASSAULT,PERSONAL_WEAPONS,M,27,,SOUTHERN
"6/11/2023, 10:00 PM",4E,600 N WOLFE ST,COMMON ASSAULT,PERSONAL_WEAPONS,M,35,BLACK_OR_AFRICAN_AMERICAN,EASTERN
"6/11/2023, 10:00 PM",4E,600 N WOLFE ST,COMMON ASSAULT,PERSONAL_WEAPONS,M,,WHITE,EASTERN
"6/11/2023, 11:00 PM",5F,4500 BONNER RD,BURGLARY,,F,28,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST
"6/11/2023, 8:20 AM",3AF,0 S CHARLES ST,ROBBERY,HANDGUN,M,37,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"6/11/2023, 8:40 AM",4E,400 E BALTIMORE ST,COMMON ASSAULT,OTHER,M,50,WHITE,CENTRAL
"6/11/2023, 9:19 AM",7C,100 MCMECHEN ST,AUTO THEFT,,F,62,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"6/11/2023, 9:00 AM",4B,1300 EASTERN AVE,AGG. ASSAULT,PERSONAL_WEAPONS,F,22,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST
"6/11/2023, 9:00 AM",4B,1300 EASTERN AVE,AGG. ASSAULT,PERSONAL_WEAPONS,M,21,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST
"6/11/2023, 11:11 AM",4E,1800 LETITIA AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,29,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"5/6/2023, 12:00 AM",7C,800 VENABLE AVE,AUTO THEFT,,M,60,WHITE,NORTHERN
"5/5/2023, 6:00 AM",7C,1500 PENTWOOD RD,AUTO THEFT,,F,27,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"5/5/2023, 12:43 PM",6F,3700 W BELVEDERE AVE,LARCENY,,F,38,WHITE,NORTHWEST
"5/5/2023, 11:00 PM",7C,100 N AMITY ST,AUTO THEFT,,M,66,,WESTERN
"5/5/2023, 9:00 PM",6J,4200 PRIMROSE AVE,LARCENY,,,,,NORTHWEST
"5/5/2023, 6:00 AM",7C,1900 N FOREST PARK AVE,AUTO THEFT,,,,,SOUTHWEST
"5/5/2023, 1:56 PM",6F,200 W PRATT ST,LARCENY,,,,,CENTRAL
"5/5/2023, 8:17 AM",5F,3600 BELAIR RD,BURGLARY,,,,,NORTHEAST
"5/5/2023, 3:43 PM",6J,1300 HERKIMER ST,LARCENY,,F,57,WHITE,SOUTHERN
"5/6/2023, 1:45 AM",4E,5500 WINTON AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,39,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST
"5/5/2023, 1:00 PM",4E,5900 PLUMER AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,13,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"5/5/2023, 7:00 AM",6D,3500 E FAIRMOUNT AVE,LARCENY FROM AUTO,,M,36,,SOUTHEAST
"5/6/2023, 1:20 AM",4E,1000 N WOODYEAR ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,22,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"5/5/2023, 8:00 AM",7C,3200 TIOGA PKWY,AUTO THEFT,,M,32,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST
"5/6/2023, 4:30 AM",5F,4100 IDAHO AVE,BURGLARY,,M,40,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"5/5/2023, 2:30 PM",6C,100 N WOLFE ST,LARCENY,,M,34,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST
